Statistical profiling result from isolate-0x140008000-51285-v8.log, (19383 ticks, 12409 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    202    1.0%          /Users/chris/.nvm/versions/node/v20.19.1/bin/node

 [JavaScript]:
   ticks  total  nonlib   name
      9    0.0%    0.0%  JS: *SourceMapConsumer_parseMappings /Users/chris/Developer/Ghost/node_modules/sourcemap-validator/node_modules/source-map/lib/source-map/source-map-consumer.js:196:45
      9    0.0%    0.0%  Builtin: SubString
      9    0.0%    0.0%  Builtin: Call_ReceiverIsNullOrUndefined
      8    0.0%    0.0%  JS: *streamChunksOfSourceMapFull /Users/chris/Developer/Ghost/node_modules/webpack/node_modules/webpack-sources/lib/helpers/streamChunksOfSourceMap.js:27:37
      8    0.0%    0.0%  JS: *shouldVisit /Users/chris/Developer/Ghost/node_modules/@babel/traverse/lib/context.js:22:14
      8    0.0%    0.0%  JS: *pp.finishToken /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:5539:28
      8    0.0%    0.0%  JS: *pp$5.parseMaybeUnary /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:2788:34
      8    0.0%    0.0%  JS: *pp$5.parseMaybeAssign /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:2667:35
      8    0.0%    0.0%  JS: *loadPluginDescriptor /Users/chris/Developer/Ghost/node_modules/@babel/core/lib/config/full.js:252:31
      8    0.0%    0.0%  JS: *compareByOriginalPositions /Users/chris/Developer/Ghost/node_modules/sourcemap-validator/node_modules/source-map/lib/source-map/util.js:246:38
      8    0.0%    0.0%  Builtin: WeakSetConstructor
      8    0.0%    0.0%  Builtin: StringPrototypeSlice
      8    0.0%    0.0%  Builtin: StringPrototypeCharCodeAt
      8    0.0%    0.0%  Builtin: ObjectPrototypeHasOwnProperty
      8    0.0%    0.0%  Builtin: LessThan_Baseline
      8    0.0%    0.0%  Builtin: KeyedStoreIC
      8    0.0%    0.0%  Builtin: EphemeronKeyBarrierSaveFP
      8    0.0%    0.0%  Builtin: ArrayTimSort
      7    0.0%    0.0%  JS: *walkExpression /Users/chris/Developer/Ghost/node_modules/webpack/lib/javascript/JavascriptParser.js:3158:16
      7    0.0%    0.0%  JS: *transformFile /Users/chris/Developer/Ghost/node_modules/@babel/core/lib/transformation/index.js:60:24
      7    0.0%    0.0%  JS: *token /Users/chris/Developer/Ghost/node_modules/@babel/generator/lib/printer.js:183:8
      7    0.0%    0.0%  JS: *setContext /Users/chris/Developer/Ghost/node_modules/@babel/traverse/lib/path/context.js:128:20
      7    0.0%    0.0%  JS: *pp$5.parseSubscript /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:2898:33
      7    0.0%    0.0%  JS: *next /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:5695:7
      7    0.0%    0.0%  JS: *get parent /Users/chris/Developer/Ghost/node_modules/@babel/traverse/lib/scope/index.js:349:13
      7    0.0%    0.0%  JS: *base64VLQ_decode /Users/chris/Developer/Ghost/node_modules/sourcemap-validator/node_modules/source-map/lib/source-map/base64-vlq.js:120:45
      7    0.0%    0.0%  JS: *<anonymous> /Users/chris/Developer/Ghost/node_modules/gensync/index.js:206:52
      7    0.0%    0.0%  Builtin: SetConstructor
      7    0.0%    0.0%  Builtin: Add_Baseline
      6    0.0%    0.0%  RegExp: (?:\/\*(?:\s*\r?\n(?:\/\/)?)?(?:[#@] sourceMappingURL=([^\s'"]*))\s*\*\/|\/\/(?:[#@] sourceMappingURL=([^\s'"]*)))\s*$
